stars,title,tags,details,link,comments,author
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4541",2018年の最先端バックエンドエンジニアに必要なスキルについて考えてみました。,"<li class=""tagList_item""><a href=""/tags/%E3%82%AD%E3%83%A3%E3%83%AA%E3%82%A2"">キャリア</a></li>
<li class=""tagList_item""><a href=""/tags/AWS"">AWS</a></li>
<li class=""tagList_item""><a href=""/tags/gcp"">gcp</a></li>","",https://qiita.com//poly_soft/items/fb649573c19b7a5c0227,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}4535",エンジニアの情報収集法まとめ,"<li class=""tagList_item""><a href=""/tags/%E3%81%BE%E3%81%A8%E3%82%81"">まとめ</a></li>
<li class=""tagList_item""><a href=""/tags/%E5%88%9D%E5%BF%83%E8%80%85"">初心者</a></li>
<li class=""tagList_item""><a href=""/tags/%E5%8B%89%E5%BC%B7"">勉強</a></li>
<li class=""tagList_item""><a href=""/tags/%E6%96%B0%E4%BA%BA%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9E%E5%BF%9C%E6%8F%B4"">新人プログラマ応援</a></li>","",https://qiita.com//nesheep5/items/e7196ba496e59bb2aa28,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3970",Pythonを書き始める前に見るべきTips,"<li class=""tagList_item""><a href=""/tags/Python"">Python</a></li>","",https://qiita.com//icoxfog417/items/e8f97a6acad07903b5b0,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3837",「AWS is 何」を3行でまとめてみるよ,"<li class=""tagList_item""><a href=""/tags/AWS"">AWS</a></li>","",https://qiita.com//kohashi/items/1bb952313fb695f12577,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3836",GitHubで使われている実用英語コメント集,"<li class=""tagList_item""><a href=""/tags/Git"">Git</a></li>
<li class=""tagList_item""><a href=""/tags/GitHub"">GitHub</a></li>
<li class=""tagList_item""><a href=""/tags/English"">English</a></li>
<li class=""tagList_item""><a href=""/tags/Python"">Python</a></li>
<li class=""tagList_item""><a href=""/tags/AdventCalendar"">AdventCalendar</a></li>","",https://qiita.com//shikichee/items/a5f922a3ef3aa58a1839,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3809",使えるRSpec入門・その1「RSpecの基本的な構文や便利な機能を理解する」,"<li class=""tagList_item""><a href=""/tags/Ruby"">Ruby</a></li>
<li class=""tagList_item""><a href=""/tags/RSpec"">RSpec</a></li>","",https://qiita.com//jnchito/items/42193d066bd61c740612,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3787",ウェブカツ運営者が語る！エンジニアで稼ぐために大切な２０のコト,"<li class=""tagList_item""><a href=""/tags/%E6%96%B0%E4%BA%BA%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9E%E5%BF%9C%E6%8F%B4"">新人プログラマ応援</a></li>
<li class=""tagList_item""><a href=""/tags/%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0%E6%95%99%E8%82%B2"">プログラミング教育</a></li>
<li class=""tagList_item""><a href=""/tags/%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%E7%AE%A1%E7%90%86"">プロジェクト管理</a></li>
<li class=""tagList_item""><a href=""/tags/%E3%83%9E%E3%83%8D%E3%82%B8%E3%83%A1%E3%83%B3%E3%83%88"">マネジメント</a></li>","",https://qiita.com//kazukichi/items/7379b75fba2f90d3cf45,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3785",Vim幼稚園からVim小学校へ,"<li class=""tagList_item""><a href=""/tags/Vim"">Vim</a></li>","",https://qiita.com//hachi8833/items/7beeee825c11f7437f54,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3660",ネイティブと働いて分かった英語コミットメッセージの頻出動詞10つ,"<li class=""tagList_item""><a href=""/tags/%E8%8B%B1%E8%AA%9E"">英語</a></li>
<li class=""tagList_item""><a href=""/tags/programming"">programming</a></li>
<li class=""tagList_item""><a href=""/tags/Git"">Git</a></li>","",https://qiita.com//gogotanaka/items/b65e1b081fa976e5d754,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3460",[初心者向け] RubyやRailsでリファクタリングに使えそうなイディオムとか便利メソッドとか,"<li class=""tagList_item""><a href=""/tags/Rails"">Rails</a></li>
<li class=""tagList_item""><a href=""/tags/Ruby"">Ruby</a></li>
<li class=""tagList_item""><a href=""/tags/%E5%88%9D%E5%BF%83%E8%80%85"">初心者</a></li>","",https://qiita.com//jnchito/items/dedb3b889ab226933ccf,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3364",モデルやメソッドに名前を付けるときは英語の品詞に気をつけよう,"<li class=""tagList_item""><a href=""/tags/English"">English</a></li>
<li class=""tagList_item""><a href=""/tags/Ruby"">Ruby</a></li>
<li class=""tagList_item""><a href=""/tags/Rails"">Rails</a></li>","",https://qiita.com//jnchito/items/459d58ba652bf4763820,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3212",プログラミング勉強を加速させる7つの習慣,"<li class=""tagList_item""><a href=""/tags/%E6%96%B0%E4%BA%BA%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9E%E5%BF%9C%E6%8F%B4"">新人プログラマ応援</a></li>
<li class=""tagList_item""><a href=""/tags/%E5%88%9D%E5%BF%83%E8%80%85"">初心者</a></li>
<li class=""tagList_item""><a href=""/tags/%E5%8B%89%E5%BC%B7"">勉強</a></li>
<li class=""tagList_item""><a href=""/tags/Ruby"">Ruby</a></li>
<li class=""tagList_item""><a href=""/tags/Rails"">Rails</a></li>","",https://qiita.com//YudaiTsukamoto/items/42a8df22ca4c6b327dfd,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3197",Markdown記法 サンプル集,"<li class=""tagList_item""><a href=""/tags/Markdown"">Markdown</a></li>
<li class=""tagList_item""><a href=""/tags/githubflavoredmarkdown"">githubflavoredmarkdown</a></li>","",https://qiita.com//tbpgr/items/989c6badefff69377da7,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3183",VagrantとDockerについて名前しか知らなかったので試した,"<li class=""tagList_item""><a href=""/tags/Vagrant"">Vagrant</a></li>
<li class=""tagList_item""><a href=""/tags/Docker"">Docker</a></li>","",https://qiita.com//hidekuro/items/fc12344d36d996198e96,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3150",2016年 独りで新規WEBサービスを開発・運用した際の知見,"<li class=""tagList_item""><a href=""/tags/Python"">Python</a></li>
<li class=""tagList_item""><a href=""/tags/Flask"">Flask</a></li>
<li class=""tagList_item""><a href=""/tags/HTML"">HTML</a></li>
<li class=""tagList_item""><a href=""/tags/SEO"">SEO</a></li>
<li class=""tagList_item""><a href=""/tags/Rails"">Rails</a></li>","",https://qiita.com//haminiku/items/711cbdb894d1d6839e3e,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}3124",(下準備編)世界一丁寧なAWS解説。EC2を利用して、RailsアプリをAWSにあげるまで,"<li class=""tagList_item""><a href=""/tags/Ruby"">Ruby</a></li>
<li class=""tagList_item""><a href=""/tags/AWS"">AWS</a></li>
<li class=""tagList_item""><a href=""/tags/Rails"">Rails</a></li>","",https://qiita.com//naoki_mochizuki/items/f795fe3e661a3349a7ce,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2933",新人プログラマに正月休み中を使って読んでみてほしい技術書をセレクトしてみた。,"<li class=""tagList_item""><a href=""/tags/%E6%8A%80%E8%A1%93%E6%9B%B8"">技術書</a></li>","",https://qiita.com//hirokidaichi/items/d30714f0698dcff1200f,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2927",初心者歓迎！手と目で覚える正規表現入門・その１「さまざまな形式の電話番号を検索しよう」,"<li class=""tagList_item""><a href=""/tags/Ruby"">Ruby</a></li>
<li class=""tagList_item""><a href=""/tags/ATOM"">ATOM</a></li>
<li class=""tagList_item""><a href=""/tags/%E6%AD%A3%E8%A6%8F%E8%A1%A8%E7%8F%BE"">正規表現</a></li>
<li class=""tagList_item""><a href=""/tags/JavaScript"">JavaScript</a></li>","",https://qiita.com//jnchito/items/893c887fbf19e17d3ff9,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2820",2017年のフロントエンドエンジニアならこの程度は知ってて当然だよな？,"<li class=""tagList_item""><a href=""/tags/JavaScript"">JavaScript</a></li>
<li class=""tagList_item""><a href=""/tags/%E3%83%95%E3%83%AD%E3%83%B3%E3%83%88%E3%82%A8%E3%83%B3%E3%83%89"">フロントエンド</a></li>
<li class=""tagList_item""><a href=""/tags/%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2"">エンジニア</a></li>","",https://qiita.com//rana_kualu/items/cad8dbbe5f5a1f1b3ba1,,
".ViewerChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#55C500;
}

.NotChecked{
display:inline-block;
width:40px;
height:9.1px;
fill:#999;
}2813",新人プログラマに知ってもらいたいメソッドを読みやすく維持するいくつかの原則,"<li class=""tagList_item""><a href=""/tags/Ruby"">Ruby</a></li>
<li class=""tagList_item""><a href=""/tags/%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0"">プログラミング</a></li>
<li class=""tagList_item""><a href=""/tags/JavaScript"">JavaScript</a></li>
<li class=""tagList_item""><a href=""/tags/Perl"">Perl</a></li>","",https://qiita.com//hirokidaichi/items/c9a76191216f3cc6c4b2,,
